platform,published_at,media_type,title_or_caption,url,views,likes,comments,shares,saves,estimated_minutes_watched,average_view_duration_seconds,subscribers_gained,engagement_rate_percent,channel_label,publishedAt,published_date,mediaType,post_type,titleOrCaption,reach,clicks,estimatedMinutesWatched,averageViewDurationSeconds,subscribersGained,engagementRatePercent,content_signal,recommended_action,facebook_reel_plays,facebook_3s_views,facebook_3s_unique_views,facebook_10s_views,facebook_15s_views,facebook_total_views_any,facebook_total_media_view,facebook_total_media_view_unique,estimated_actual_views,facebook_15s_view_rate_percent,facebook_plays_per_reached_person,facebook_avg_watch_seconds,reactions,length_seconds,facebook_metric_source,facebook_candidate_source,facebook_video_id_used,facebook_post_id_fallback,facebook_reactions_by_type,facebook_clicks_by_type,facebook_insight_metrics_returned,facebook_raw_metrics_json,page_name,asset_key,pillar,topic,post_date,engagement_rate,facebook_url,fbid,url_normalized,campaign,short_num,already_crossposted,book_or_offer,content_pillar,cta
Facebook,2026-05-21,VIDEO,"Generic training plans were built for 30-year-olds.  After 50 your recovery window is longer, injury risk is higher, and your hormonal environmen...",https://www.facebook.com/reel/1001813415833655/,208,0,0,0,0,8.11,2.34,0,0.0,,2026-05-21T09:46:19+0000,2026-05-21,VIDEO,REEL,"Generic training plans were built for 30-year-olds.  After 50 your recovery window is longer, injury risk is higher, and your hormonal environmen...",0.0,0.0,8.11,2.34,0.0,0.0,Winner,Study the hook/title and make a follow-up.,208.0,18.0,13.0,0.0,1.0,208.0,0.0,200.0,208.0,0.48,0.0,2.34,0.0,41.0,post_insights+video_insights,posts_attachment,1001813415833655,1099582573243403_122095137657340266,{},{},"blue_reels_play_count,post_clicks,post_clicks_by_type,post_reactions_by_type_total,post_total_media_view_unique,post_video_avg_time_watched,post_video_complete_views_30s,post_video_complete_views_30s_unique,post_video_view_time,post_video_views,post_video_views_15s,post_video_views_unique","{""blue_reels_play_count"": 208, ""post_video_view_time"": 486574, ""post_video_avg_time_watched"": 2339, ""post_reactions_by_type_total"": {}, ""post_clicks"": 0, ""post_clicks_by_type"": {}, ""post_video_views"": 18, ""post_video_views_unique"": 13, ""post_video_views_15s"": 1, ""post_total_media_view_unique"": 200, ""post_video_complete_views_30s"": 1, ""post_video_complete_views_30s_unique"": 1}",,,,,,,,,https://www.facebook.com/reel/1001813415833655,AI After 50 Launch,1,True,AI After 50,Training,—
Facebook-WB,2026-06-11,VIDEO,Colt Crane lives alone in the Oregon woods. He is not looking for what finds him.  The fire has been going for an hour when the room goes somewhe...,https://www.facebook.com/reel/1004583505554643/,205,0,0,0,0,10.76,3.15,0,0.0,,2026-06-11T13:05:26+0000,2026-06-11,VIDEO,REEL,Colt Crane lives alone in the Oregon woods. He is not looking for what finds him.  The fire has been going for an hour when the room goes somewhe...,0.0,0.0,10.76,3.15,0.0,0.0,Winner,Study the hook/title and make a follow-up.,205.0,64.0,64.0,0.0,6.0,205.0,0.0,200.0,205.0,2.93,0.0,3.15,0.0,33.0,post_insights+video_insights,posts_attachment,1004583505554643,1139610515899648_122106055587338188,{},{},"blue_reels_play_count,post_clicks,post_clicks_by_type,post_reactions_by_type_total,post_total_media_view_unique,post_video_avg_time_watched,post_video_complete_views_30s,post_video_complete_views_30s_unique,post_video_view_time,post_video_views,post_video_views_15s,post_video_views_unique","{""blue_reels_play_count"": 205, ""post_video_view_time"": 645725, ""post_video_avg_time_watched"": 3149, ""post_reactions_by_type_total"": {}, ""post_clicks"": 0, ""post_clicks_by_type"": {}, ""post_video_views"": 64, ""post_video_views_unique"": 64, ""post_video_views_15s"": 6, ""post_total_media_view_unique"": 200, ""post_video_complete_views_30s"": 0, ""post_video_complete_views_30s_unique"": 0}",,,,,,,,,https://www.facebook.com/reel/1004583505554643,What the Blood Knows Launch,3,True,What the Blood Knows,Character,—
Facebook,2026-05-22,VIDEO,Cognitive decline is not inevitable. It is a variable.  After 50 the inputs that drive brain performance are the same inputs that drive physical ...,https://www.facebook.com/reel/1329974772607423/,202,1,0,0,0,14.36,4.27,0,0.5,,2026-05-22T13:57:22+0000,2026-05-22,VIDEO,REEL,Cognitive decline is not inevitable. It is a variable.  After 50 the inputs that drive brain performance are the same inputs that drive physical ...,0.0,0.0,14.36,4.27,0.0,0.5,Winner,Study the hook/title and make a follow-up.,202.0,44.0,43.0,0.0,7.0,202.0,0.0,196.0,202.0,3.47,0.0,4.27,1.0,40.0,post_insights+video_insights,posts_attachment,1329974772607423,1099582573243403_122095984881340266,"{""like"": 1}",{},"blue_reels_play_count,post_clicks,post_clicks_by_type,post_reactions_by_type_total,post_total_media_view_unique,post_video_avg_time_watched,post_video_complete_views_30s,post_video_complete_views_30s_unique,post_video_view_time,post_video_views,post_video_views_15s,post_video_views_unique","{""blue_reels_play_count"": 202, ""post_video_view_time"": 861784, ""post_video_avg_time_watched"": 4266, ""post_reactions_by_type_total"": {""like"": 1}, ""post_clicks"": 0, ""post_clicks_by_type"": {}, ""post_video_views"": 44, ""post_video_views_unique"": 43, ""post_video_views_15s"": 7, ""post_total_media_view_unique"": 196, ""post_video_complete_views_30s"": 3, ""post_video_complete_views_30s_unique"": 2}",,,,,,,,,https://www.facebook.com/reel/1329974772607423,AI After 50 Launch,4,True,AI After 50,Cognition,—
Facebook,2026-05-21,VIDEO,"After 50, men lose 3–5% muscle mass per decade. After 60 it accelerates.  Muscle is metabolic armor. It drives your resting metabolic rate, regul...",https://www.facebook.com/reel/980237058379884/,202,1,0,0,0,16.21,4.81,0,0.5,,2026-05-21T20:17:04+0000,2026-05-21,VIDEO,REEL,"After 50, men lose 3–5% muscle mass per decade. After 60 it accelerates.  Muscle is metabolic armor. It drives your resting metabolic rate, regul...",0.0,0.0,16.21,4.81,0.0,0.5,Winner,Study the hook/title and make a follow-up.,202.0,58.0,57.0,0.0,15.0,202.0,0.0,197.0,202.0,7.43,0.0,4.81,1.0,43.0,post_insights+video_insights,posts_attachment,980237058379884,1099582573243403_122095486869340266,"{""like"": 1}",{},"blue_reels_play_count,post_clicks,post_clicks_by_type,post_reactions_by_type_total,post_total_media_view_unique,post_video_avg_time_watched,post_video_complete_views_30s,post_video_complete_views_30s_unique,post_video_view_time,post_video_views,post_video_views_15s,post_video_views_unique","{""blue_reels_play_count"": 202, ""post_video_view_time"": 972564, ""post_video_avg_time_watched"": 4814, ""post_reactions_by_type_total"": {""like"": 1}, ""post_clicks"": 0, ""post_clicks_by_type"": {}, ""post_video_views"": 58, ""post_video_views_unique"": 57, ""post_video_views_15s"": 15, ""post_total_media_view_unique"": 197, ""post_video_complete_views_30s"": 6, ""post_video_complete_views_30s_unique"": 5}",,,,,,,,,https://www.facebook.com/reel/980237058379884,Win the Long War Launch,2,True,Win the Long War,Muscle,—
Facebook,2026-05-27,VIDEO,The Romans didn't build an empire on motivation. Ordinary men. Extraordinary structure. 7 pillars from Roman military science applied to men over...,https://www.facebook.com/reel/1350116453883847/,198,3,0,0,0,22.02,6.67,0,1.52,,2026-05-27T21:29:35+0000,2026-05-27,VIDEO,REEL,The Romans didn't build an empire on motivation. Ordinary men. Extraordinary structure. 7 pillars from Roman military science applied to men over...,0.0,0.0,22.02,6.67,0.0,1.52,Winner,Study the hook/title and make a follow-up.,198.0,91.0,90.0,0.0,27.0,198.0,0.0,195.0,198.0,13.64,0.0,6.67,3.0,38.0,post_insights+video_insights,posts_attachment,1350116453883847,1099582573243403_122099368635340266,"{""like"": 3}",{},"blue_reels_play_count,post_clicks,post_clicks_by_type,post_reactions_by_type_total,post_total_media_view_unique,post_video_avg_time_watched,post_video_complete_views_30s,post_video_complete_views_30s_unique,post_video_view_time,post_video_views,post_video_views_15s,post_video_views_unique","{""blue_reels_play_count"": 198, ""post_video_view_time"": 1321444, ""post_video_avg_time_watched"": 6673, ""post_reactions_by_type_total"": {""like"": 3}, ""post_clicks"": 0, ""post_clicks_by_type"": {}, ""post_video_views"": 91, ""post_video_views_unique"": 90, ""post_video_views_15s"": 27, ""post_total_media_view_unique"": 195, ""post_video_complete_views_30s"": 13, ""post_video_complete_views_30s_unique"": 13}",,,,,,,,,https://www.facebook.com/reel/1350116453883847,Roman Protocol Launch,1,True,The Roman Protocol,System,—
Facebook,2026-06-09,VIDEO,Estrogen protects muscle. When it drops — muscle loss accelerates.  This is not a fitness problem. It is a metabolic emergency most women over 50...,https://www.facebook.com/reel/3439715256210207/,192,1,0,0,0,49.64,15.51,0,0.52,,2026-06-09T20:25:59+0000,2026-06-09,VIDEO,REEL,Estrogen protects muscle. When it drops — muscle loss accelerates.  This is not a fitness problem. It is a metabolic emergency most women over 50...,0.0,0.0,49.64,15.51,0.0,0.52,Winner,Study the hook/title and make a follow-up.,192.0,64.0,63.0,0.0,22.0,192.0,0.0,191.0,192.0,11.46,0.0,15.51,1.0,45.0,post_insights+video_insights,posts_attachment,3439715256210207,1099582573243403_122107327839340266,"{""like"": 1}",{},"blue_reels_play_count,post_clicks,post_clicks_by_type,post_reactions_by_type_total,post_total_media_view_unique,post_video_avg_time_watched,post_video_complete_views_30s,post_video_complete_views_30s_unique,post_video_view_time,post_video_views,post_video_views_15s,post_video_views_unique","{""blue_reels_play_count"": 192, ""post_video_view_time"": 2978374, ""post_video_avg_time_watched"": 15512, ""post_reactions_by_type_total"": {""like"": 1}, ""post_clicks"": 0, ""post_clicks_by_type"": {}, ""post_video_views"": 64, ""post_video_views_unique"": 63, ""post_video_views_15s"": 22, ""post_total_media_view_unique"": 191, ""post_video_complete_views_30s"": 11, ""post_video_complete_views_30s_unique"": 11}",,,,,,,,,https://www.facebook.com/reel/3439715256210207,Women's Edition Launch,2,True,Win the Long War Women's Edition,Muscle,—
Facebook,2026-05-21,VIDEO,"After 50, sleep is not rest. It is the protocol.  HGH releases during deep sleep. Testosterone restores during sleep. Memory consolidates during ...",https://www.facebook.com/reel/971178662197004/,192,0,0,0,0,10.75,3.36,0,0.0,,2026-05-21T13:44:09+0000,2026-05-21,VIDEO,REEL,"After 50, sleep is not rest. It is the protocol.  HGH releases during deep sleep. Testosterone restores during sleep. Memory consolidates during ...",0.0,0.0,10.75,3.36,0.0,0.0,Winner,Study the hook/title and make a follow-up.,192.0,35.0,30.0,0.0,5.0,192.0,0.0,181.0,192.0,2.6,0.0,3.36,0.0,38.0,post_insights+video_insights,posts_attachment,971178662197004,1099582573243403_122095255041340266,{},{},"blue_reels_play_count,post_clicks,post_clicks_by_type,post_reactions_by_type_total,post_total_media_view_unique,post_video_avg_time_watched,post_video_complete_views_30s,post_video_complete_views_30s_unique,post_video_view_time,post_video_views,post_video_views_15s,post_video_views_unique","{""blue_reels_play_count"": 192, ""post_video_view_time"": 645245, ""post_video_avg_time_watched"": 3360, ""post_reactions_by_type_total"": {}, ""post_clicks"": 0, ""post_clicks_by_type"": {}, ""post_video_views"": 35, ""post_video_views_unique"": 30, ""post_video_views_15s"": 5, ""post_total_media_view_unique"": 181, ""post_video_complete_views_30s"": 2, ""post_video_complete_views_30s_unique"": 1}",,,,,,,,,https://www.facebook.com/reel/971178662197004,AI After 50 Launch,3,True,AI After 50,Sleep,—
Instagram-WB,2026-05-27,REELS,"In 2013, scientists showed mice passed fear to offspring. Fear of a scent they had never encountered.  Not a dream. Not a memory. Something older...",https://www.instagram.com/reel/DY2uMuoIQAn/,191,1,0,0,0,0.0,0.0,0,0.52,,,,,,,,,,,,,Winner,Study the hook/title and make a follow-up.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.instagram.com/reel/DY2uMuoIQAn,What the Blood Knows Launch,1,True,What the Blood Knows,Hook,—
Facebook,2026-06-02,VIDEO,"Heavier athletes overheat faster. Here's the science.  Heat generates proportional to mass, dissipates proportional to surface area. At 240 lbs t...",https://www.facebook.com/reel/1500844098438618/,190,0,0,0,0,10.18,3.21,0,0.0,,2026-06-02T19:43:01+0000,2026-06-02,VIDEO,REEL,"Heavier athletes overheat faster. Here's the science.  Heat generates proportional to mass, dissipates proportional to surface area. At 240 lbs t...",0.0,1.0,10.18,3.21,0.0,0.0,Winner,Study the hook/title and make a follow-up.,190.0,43.0,39.0,0.0,9.0,190.0,0.0,184.0,190.0,4.74,0.0,3.21,0.0,43.0,post_insights+video_insights,posts_attachment,1500844098438618,1099582573243403_122104078161340266,{},"{""other clicks"": 1}","blue_reels_play_count,post_clicks,post_clicks_by_type,post_reactions_by_type_total,post_total_media_view_unique,post_video_avg_time_watched,post_video_complete_views_30s,post_video_complete_views_30s_unique,post_video_view_time,post_video_views,post_video_views_15s,post_video_views_unique","{""blue_reels_play_count"": 190, ""post_video_view_time"": 610615, ""post_video_avg_time_watched"": 3213, ""post_reactions_by_type_total"": {}, ""post_clicks"": 1, ""post_clicks_by_type"": {""other clicks"": 1}, ""post_video_views"": 43, ""post_video_views_unique"": 39, ""post_video_views_15s"": 9, ""post_total_media_view_unique"": 184, ""post_video_complete_views_30s"": 4, ""post_video_complete_views_30s_unique"": 4}",,,,,,,,,https://www.facebook.com/reel/1500844098438618,Clydesdale Protocol Launch,2,True,The Clydesdale Protocol,Heat,—
Facebook,2026-05-29,VIDEO,"Marcus Aurelius ran a morning protocol 2,000 years ago. 3 minutes. Write what you'll do, where, when, and the obstacle you expect. Implementation...",https://www.facebook.com/reel/921819330886653/,167,1,0,0,0,16.26,5.84,0,0.6,,2026-05-29T15:03:16+0000,2026-05-29,VIDEO,REEL,"Marcus Aurelius ran a morning protocol 2,000 years ago. 3 minutes. Write what you'll do, where, when, and the obstacle you expect. Implementation...",0.0,0.0,16.26,5.84,0.0,0.6,Winner,Study the hook/title and make a follow-up.,167.0,52.0,52.0,0.0,11.0,167.0,0.0,164.0,167.0,6.59,0.0,5.84,1.0,37.0,post_insights+video_insights,posts_attachment,921819330886653,1099582573243403_122100695109340266,"{""like"": 1}",{},"blue_reels_play_count,post_clicks,post_clicks_by_type,post_reactions_by_type_total,post_total_media_view_unique,post_video_avg_time_watched,post_video_complete_views_30s,post_video_complete_views_30s_unique,post_video_view_time,post_video_views,post_video_views_15s,post_video_views_unique","{""blue_reels_play_count"": 167, ""post_video_view_time"": 975410, ""post_video_avg_time_watched"": 5840, ""post_reactions_by_type_total"": {""like"": 1}, ""post_clicks"": 0, ""post_clicks_by_type"": {}, ""post_video_views"": 52, ""post_video_views_unique"": 52, ""post_video_views_15s"": 11, ""post_total_media_view_unique"": 164, ""post_video_complete_views_30s"": 5, ""post_video_complete_views_30s_unique"": 5}",,,,,,,,,https://www.facebook.com/reel/921819330886653,Roman Protocol Launch,3,True,The Roman Protocol,Mindset,—
YouTube,2026-05-16,VIDEO,Why Men Over 50 Can't Afford Bad Sleep|Win the Long War #neverstop #longevityafter50 #over50fitness,https://www.youtube.com/watch?v=QvActf-jq8Q,156,5,0,3,0,39.0,33.0,1,5.13,Will Power Protocols,,,,,,,,,,,,"Winner, Watch-Time Winner, Promising, Repurpose Candidate",Study the hook/title and make a follow-up. This generated real watch time; create a deeper version. Good engagement; test a stronger hook or repost angle. Turn this Short into an Instagram Reel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=QvActf-jq8Q,Win the Long War Launch,1,True,Win the Long War,Sleep,—
YouTube,2026-05-22,VIDEO,Use AI To Stress-Test Your Retirement Plan After 50 | AI After 50,https://www.youtube.com/watch?v=BmBAcXD61Uk,152,1,0,0,0,5.0,16.0,0,0.66,Will Power Protocols,,,,,,,,,,,,"Winner, Repurpose Candidate",Study the hook/title and make a follow-up. Turn this Short into an Instagram Reel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=BmBAcXD61Uk,AI After 50 Launch,5,True,AI After 50,Financial,—
