book_or_offer,short_num,content_pillar,campaign,script_topic,mp3_ready,account,posted,instagram_url,youtube_url,x_url,x_views,x_likes,x_reposts,post_date,notes,x_account
The Clydesdale Protocol,2,Heat,Clydesdale Protocol Launch,Heavier athletes overheat faster. Heat generates to mass. Dissipates to surface area.,Y,@willpowerprotocols,N,,,,,,,,MP3 recorded in Adam Spencer â€” re-record in Conner when time permits,@wpprotocols
The Clydesdale Protocol,3,Training,Clydesdale Protocol Launch,The 10% rule wasn't built for your body weight. Max 8% run increase per week.,Y,@willpowerprotocols,N,,,,,,,,MP3 recorded in Adam Spencer â€” re-record in Conner when time permits,@wpprotocols
The Clydesdale Protocol,4,Hydration,Clydesdale Protocol Launch,At 240 lbs you lose over 2 liters of fluid per hour. Generic targets fail you.,Y,@willpowerprotocols,N,,,,,,,,MP3 recorded in Adam Spencer â€” re-record in Conner when time permits,@wpprotocols
The Clydesdale Protocol,5,Joints,Clydesdale Protocol Launch,Peak knee force at 240 lbs: 600 lbs per stride. Cardio adapts in weeks. Tendons take months.,Y,@willpowerprotocols,N,,,,,,,,MP3 recorded in Adam Spencer â€” re-record in Conner when time permits,@wpprotocols
The Athena Protocol,1,Nutrition,Athena Protocol Launch,Standard plans fail Athena athletes twice. Once for body size. Once for sex.,N,@willpowerprotocols,N,,,,,,,,,@wpprotocols
The Athena Protocol,2,Heat,Athena Protocol Launch,Luteal phase + Athena weight = you overheat faster. Two compounding factors.,N,@willpowerprotocols,N,,,,,,,,,@wpprotocols
The Athena Protocol,3,Training,Athena Protocol Launch,Standard plans excluded you twice. Wrong sex. Wrong weight. Run someone else's protocol.,N,@willpowerprotocols,N,,,,,,,,,@wpprotocols
The Athena Protocol,4,Hormones,Athena Protocol Launch,Your menstrual cycle is a training variable. Most coaches ignore it.,N,@willpowerprotocols,N,,,,,,,,,@wpprotocols
The Athena Protocol,5,Joints,Athena Protocol Launch,Female athletes have higher ACL injury rates at the same training load.,N,@willpowerprotocols,N,,,,,,,,,@wpprotocols
The Roman Protocol,1,System,Roman Protocol Launch,The Romans didn't build an empire on motivation. Ordinary men. Extraordinary structure.,N,@willpowerprotocols,N,,,,,,,,Instagram caption uses 'The protocols are ancient. The science is modern.' as sign-off,@wpprotocols
The Roman Protocol,2,Zone 2,Roman Protocol Launch,Roman Legionaries marched 20 miles/day. They called it marching speed. We call it Zone 2.,N,@willpowerprotocols,N,,,,,,,,Instagram caption uses 'The protocols are ancient. The science is modern.' as sign-off,@wpprotocols
The Roman Protocol,3,Mindset,Roman Protocol Launch,"Marcus Aurelius ran a morning protocol 2,000 years ago. 3 minutes. Implementation intention.",N,@willpowerprotocols,N,,,,,,,,Instagram caption uses 'The protocols are ancient. The science is modern.' as sign-off,@wpprotocols
The Roman Protocol,4,Nutrition,Roman Protocol Launch,"The Roman Legion ran on grain, olive oil, and salt. No supplements. No confusion. A protocol.",N,@willpowerprotocols,N,,,,,,,,Instagram caption uses 'The protocols are ancient. The science is modern.' as sign-off,@wpprotocols
The Roman Protocol,5,Recovery,Roman Protocol Launch,Roman soldiers bathed in cold water. Not for comfort. 2 minutes every morning. Protocol.,N,@willpowerprotocols,N,,,,,,,,Instagram caption uses 'The protocols are ancient. The science is modern.' as sign-off,@wpprotocols
AI After 50,1,Training,AI After 50 Launch,Generic training plans were built for 30-year-olds. Feed your HRV into Claude.,N,@willpowerprotocols,N,,,,,,,,,@wpprotocols
AI After 50,2,Bloodwork,AI After 50 Launch,Your doctor has 14 minutes. Your bloodwork has 60 data points. Normal is not optimal.,N,@willpowerprotocols,N,,,,,,,,,@wpprotocols
AI After 50,3,Sleep,AI After 50 Launch,After 50 sleep is not rest. It is the protocol. Feed your sleep data into Claude.,N,@willpowerprotocols,N,,,,,,,,,@wpprotocols
AI After 50,4,Cognition,AI After 50 Launch,Cognitive decline is not inevitable. It is a variable. Variables respond to protocols.,N,@willpowerprotocols,N,,,,,,,,,@wpprotocols
AI After 50,5,Finance,AI After 50 Launch,"Healthcare in retirement averages $300,000 per couple. Most calculators omit that number.",N,@willpowerprotocols,N,,,,,,,,,@wpprotocols
What the Blood Knows,1,Hook,What the Blood Knows Launch,Emory 2013: mice passed fear to offspring via a scent they'd never encountered.,N,@will.byron88,N,,,,,,,,WILL BYRON BRAND ONLY. Never post to @willpowerprotocols. Dark amber aesthetic. Marine Sniper voice.,@willbyron
What the Blood Knows,2,Science,What the Blood Knows Launch,Epigenetic inheritance is documented science. We may carry the imprint of what ancestors experienced.,N,@will.byron88,N,,,,,,,,WILL BYRON BRAND ONLY. Never post to @willpowerprotocols.,@willbyron
What the Blood Knows,3,Character,What the Blood Knows Launch,Colt Crane. Oregon woods. The fire opens something. Not a dream. Not a memory. Something older.,N,@will.byron88,N,,,,,,,,WILL BYRON BRAND ONLY. Never post to @willpowerprotocols.,@willbyron
What the Blood Knows,4,Artifact,What the Blood Knows Launch,"He came back with something in his right hand. Harvard dated it 43,200 years old.",N,@will.byron88,N,,,,,,,,WILL BYRON BRAND ONLY. Never post to @willpowerprotocols.,@willbyron
What the Blood Knows,5,Invitation,What the Blood Knows Launch,Some things the body knows before the mind can explain. Your ancestors are still in you.,N,@will.byron88,N,,,,,,,,WILL BYRON BRAND ONLY. Never post to @willpowerprotocols.,@willbyron
Win the Long War,,Sleep,Pre-System,Pre-V3 sleep post,N,@willpowerprotocols,Y,https://www.instagram.com/reel/DXRBmUiDl14/,https://youtube.com/shorts/ZxoyWNKcvKw,,,,,4/18/2026,Pre-V3 system,@wpprotocols
Win the Long War,,Recovery,Pre-System,Pre-V3 recovery post,N,@willpowerprotocols,Y,https://www.instagram.com/reel/DXWRExijnsW/,,,,,,4/20/2026,Pre-V3 system,@wpprotocols
Battle Hard,,Identity,Battle Hard Manifesto,Battle Hard meaning two words,N,@willpowerprotocols,Y,https://www.instagram.com/reel/DXIE6lEkevS/,https://www.youtube.com/watch?v=BnqdC9pLdf8,,,,,4/14/2026,Pre-V3 system â€” Sticky watch-time winner on YouTube,@wpprotocols
Win the Long War,,Recovery,Pre-System,Pre-V3 exhaustion/recovery post,N,@willpowerprotocols,Y,,https://www.youtube.com/watch?v=rA-BeZ_q8sE,,,,,4/20/2026,Pre-V3 system,@wpprotocols
Win the Long War,,Sleep,Pre-System,Pre-V3 sleep post,N,@willpowerprotocols,Y,,https://www.youtube.com/watch?v=QGXcIZAQOWE,,,,,4/14/2026,Pre-V3 system,@wpprotocols
Win the Long War,,Training,Pre-System,Hyrox — race format built for men over 50,N,@willpowerprotocols,Y,,https://www.youtube.com/watch?v=AjTHhYMeLWM,,,,,4/14/2026,Book test â€” watch performance,@wpprotocols
Win the Long War,,Strength,Pre-System,Grip strength predicts how long you live,N,@willpowerprotocols,Y,https://www.instagram.com/reel/DXHiNmTkQ1E/,https://www.youtube.com/watch?v=YNH_mUUDZx8,,,,,4/14/2026,Pre-V3 system,@wpprotocols
